Date,Open,High,Low,Close,Adj Close,Volume
2019-02-13,19400.000000,19880.000000,19320.000000,19690.000000,19059.634766,82450
2019-02-14,19820.000000,19820.000000,19570.000000,19630.000000,19001.554688,56353
2019-02-17,19860.000000,20020.000000,19750.000000,19870.000000,19233.871094,27312
2019-02-18,20030.000000,20030.000000,19820.000000,19930.000000,19291.951172,38232
2019-02-19,20000.000000,20010.000000,19760.000000,19810.000000,19175.792969,59235
2019-02-20,19720.000000,20140.000000,19720.000000,19950.000000,19311.310547,93336
2019-02-21,20090.000000,20130.000000,19850.000000,20050.000000,19408.109375,136516
2019-02-24,20140.000000,20150.000000,19830.000000,20060.000000,19417.789063,9988
2019-02-25,20290.000000,20600.000000,20160.000000,20530.000000,19872.742188,58661
2019-02-26,20570.000000,20630.000000,20320.000000,20590.000000,19930.822266,43374
2019-02-27,20590.000000,20590.000000,20320.000000,20330.000000,19679.146484,41970
2019-02-28,20400.000000,20670.000000,20240.000000,20290.000000,19640.425781,95593
2019-03-03,20290.000000,20450.000000,20200.000000,20270.000000,19621.066406,18821
2019-03-04,20270.000000,20670.000000,20210.000000,20380.000000,19727.544922,54572
2019-03-05,20380.000000,20470.000000,20260.000000,20420.000000,19766.263672,53306
2019-03-06,20550.000000,20570.000000,20330.000000,20350.000000,19698.505859,35948
2019-03-07,20400.000000,20570.000000,20350.000000,20380.000000,19727.544922,118483
2019-03-10,20560.000000,20590.000000,20400.000000,20500.000000,19843.703125,29603
2019-03-11,20540.000000,20540.000000,20320.000000,20470.000000,19814.662109,37315
2019-03-12,20470.000000,20680.000000,20390.000000,20390.000000,19737.224609,40887
2019-03-13,20390.000000,20900.000000,20350.000000,20900.000000,20230.896484,51157
2019-03-14,20860.000000,21100.000000,20640.000000,20830.000000,20163.138672,122631
2019-03-17,20790.000000,21310.000000,20790.000000,21060.000000,20385.775391,28780
2019-03-18,21000.000000,21170.000000,20810.000000,20830.000000,20163.138672,36468
2019-03-19,21040.000000,21270.000000,20570.000000,20720.000000,20056.660156,53004
2019-03-20,21000.000000,21170.000000,20500.000000,20910.000000,20240.578125,93446
2019-03-21,20910.000000,20910.000000,20910.000000,20910.000000,20240.578125,0
2019-03-24,20920.000000,21180.000000,20790.000000,21140.000000,20463.212891,15033
2019-03-25,20950.000000,21340.000000,20950.000000,21250.000000,20569.691406,48135
2019-03-26,21380.000000,21780.000000,21100.000000,21680.000000,20985.925781,47219
2019-03-27,21680.000000,21880.000000,21470.000000,21780.000000,21082.724609,54605
2019-03-28,21450.000000,21600.000000,21360.000000,21510.000000,20821.367188,141660
2019-03-31,21440.000000,21580.000000,21190.000000,21190.000000,20511.613281,22168
2019-04-01,21220.000000,21280.000000,21000.000000,21030.000000,20356.734375,153130
2019-04-02,21030.000000,21280.000000,21030.000000,21280.000000,20598.732422,34818
2019-04-03,21450.000000,21810.000000,21330.000000,21570.000000,20879.447266,84962
2019-04-04,21560.000000,21560.000000,21260.000000,21350.000000,20666.490234,138724
2019-04-07,21560.000000,21690.000000,21350.000000,21690.000000,20995.605469,23586
2019-04-08,21690.000000,22080.000000,21470.000000,21870.000000,21169.841797,64442
2019-04-09,21870.000000,21870.000000,21870.000000,21870.000000,21169.841797,0
2019-04-10,22240.000000,22280.000000,21970.000000,22200.000000,21489.277344,64702
2019-04-11,22250.000000,22250.000000,21800.000000,21820.000000,21121.443359,59614
2019-04-14,21930.000000,22300.000000,21850.000000,22300.000000,21586.076172,30460
2019-04-15,22310.000000,22770.000000,21790.000000,22580.000000,21857.111328,45405
2019-04-16,22580.000000,22890.000000,22530.000000,22870.000000,22137.830078,59760
2019-04-17,22580.000000,22580.000000,21930.000000,22140.000000,21872.833984,58381
2019-04-18,22160.000000,22160.000000,21680.000000,21720.000000,21457.902344,81183
2019-04-21,21830.000000,21880.000000,21610.000000,21670.000000,21408.505859,10137
2019-04-22,21580.000000,21680.000000,21570.000000,21570.000000,21309.710938,14558
2019-04-23,21570.000000,21650.000000,21500.000000,21520.000000,21260.314453,27184
2019-04-24,21630.000000,21680.000000,21350.000000,21520.000000,21260.314453,118025
2019-04-25,21520.000000,21520.000000,21520.000000,21520.000000,21260.314453,0
2019-04-28,21630.000000,21770.000000,21480.000000,21480.000000,21220.796875,21568
2019-04-29,21440.000000,21670.000000,21080.000000,21080.000000,20825.625000,112474
2019-04-30,21190.000000,21190.000000,20300.000000,20480.000000,20232.865234,149724
2019-05-01,20470.000000,20720.000000,20000.000000,20400.000000,20153.830078,82416
2019-05-02,20220.000000,20450.000000,20170.000000,20200.000000,19956.244141,111000
2019-05-05,20410.000000,20560.000000,20050.000000,20200.000000,19956.244141,63509
2019-05-06,19830.000000,20080.000000,19690.000000,19880.000000,19640.105469,82870
2019-05-07,19880.000000,20070.000000,19680.000000,20000.000000,19758.656250,104976
2019-05-08,20000.000000,20000.000000,20000.000000,20000.000000,19758.656250,0
2019-05-09,20000.000000,20000.000000,20000.000000,20000.000000,19758.656250,0
2019-05-12,20100.000000,20110.000000,19710.000000,19800.000000,19561.070313,28689
2019-05-13,19920.000000,19940.000000,19490.000000,19490.000000,19254.810547,76923
2019-05-14,19490.000000,20000.000000,19490.000000,19980.000000,19738.898438,52443
2019-05-15,19980.000000,19980.000000,19980.000000,19980.000000,19738.898438,0
2019-05-16,19550.000000,20270.000000,19440.000000,20250.000000,20005.640625,124976
2019-05-19,20200.000000,20290.000000,20000.000000,20240.000000,19995.761719,22237
2019-05-20,20240.000000,20710.000000,20100.000000,20480.000000,20232.865234,155557
2019-05-21,20480.000000,20480.000000,20480.000000,20480.000000,20232.865234,0
2019-05-22,21100.000000,21960.000000,21100.000000,21800.000000,21536.935547,144553
2019-05-23,21800.000000,21850.000000,21250.000000,21420.000000,21161.521484,90576
2019-05-26,21420.000000,21800.000000,21420.000000,21580.000000,21319.591797,21119
2019-05-27,21640.000000,21640.000000,21040.000000,21040.000000,20786.107422,39114
2019-05-28,21010.000000,21410.000000,20930.000000,21040.000000,20786.107422,261839
2019-05-29,20950.000000,21590.000000,20920.000000,21520.000000,21260.314453,90441
2019-05-30,21380.000000,21650.000000,21250.000000,21650.000000,21388.746094,173112
2019-06-02,21400.000000,21550.000000,21320.000000,21550.000000,21289.953125,16029
2019-06-03,21550.000000,21990.000000,21550.000000,21950.000000,21685.126953,85573
2019-06-04,22000.000000,22400.000000,21990.000000,22180.000000,21912.351563,57288
2019-06-05,22290.000000,22290.000000,22000.000000,22090.000000,21823.437500,42724
2019-06-06,22190.000000,22380.000000,21980.000000,22380.000000,22109.937500,67463
2019-06-09,22380.000000,22380.000000,22380.000000,22380.000000,22109.937500,0
2019-06-10,22650.000000,22750.000000,22450.000000,22600.000000,22327.283203,27922
2019-06-11,22580.000000,22700.000000,22470.000000,22500.000000,22228.490234,47144
2019-06-12,22320.000000,22450.000000,22310.000000,22410.000000,22139.576172,113741
2019-06-13,22270.000000,22350.000000,22140.000000,22260.000000,21991.384766,99935
2019-06-16,22260.000000,22300.000000,22030.000000,22050.000000,21783.919922,14324
2019-06-17,22170.000000,22470.000000,22000.000000,22450.000000,22179.091797,109761
2019-06-18,22490.000000,22700.000000,22420.000000,22530.000000,22258.126953,111063
2019-06-19,22650.000000,22900.000000,22480.000000,22900.000000,22623.662109,67397
2019-06-20,23010.000000,23420.000000,23010.000000,23150.000000,22870.646484,147729
2019-06-23,23150.000000,23150.000000,22910.000000,22910.000000,22633.541016,23740
